filename,section_name,llm_annotation
03biz-tariffs-global-01-lgwv-articleLarge.jpg,Technology,"The image depicts an electronics store or warehouse, featuring rows of TVs and other electronic devices on display, indicating that it is related to technology"
00Biz-China-RareEarths-11-twkq-articleLarge.jpg,World,"The image depicts a man in a suit standing next to a car, suggesting that he may be involved in international business or diplomatic relations"
02bunch-smithsonian-02-articleLarge.jpg,Business,"The image features a man in a suit and tie, standing in front of a city skyline, suggesting a business or professional setting."
25Mazur-01-lwjc-articleLarge.jpg,Business,"The image shows two men in suits shaking hands, indicating a business-related meeting or negotiation"
31dc-trump-asdw-articleLarge.jpg,World,"The image depicts a man and woman in formal attire walking through an archway, suggesting a cultural or historical event"
00deport-tech-1-czqj-articleLarge.jpg,World,"The image depicts a crowded street with people holding banners and signs, indicating a protest or demonstration related to global issues"
13cul-khovanshchina-01-hjqf-articleLarge.jpg,Arts,"The image depicts two men posing in front of a blood-stained stage set, suggesting that it may be related to a theatrical performance or production."
00Russia-sanctions-01-fwjp-articleLarge.jpg,World,"The image depicts a crowded street with people holding banners and signs, suggesting that it is related to global or international events."
29OPENAI-DEEPSEEK-app-hbql-articleLarge.jpg,World,"The image depicts an elderly woman in a hijab and shalwar kameez, holding a shopping bag and standing in front of a store. This suggests that she may be engaged in a routine activity like grocery shopping or running errands, which is a common aspect of daily life for many people around the world."
27sp-museums-aiweiwei-01-fqjg-articleLarge.jpg,Arts,"The image depicts an art installation featuring multiple bicycles arranged in a unique and creative manner, showcasing artistic expression"
15scotus-tiktok-arguments-VERSION-fkqb-articleLarge.jpg,World,"The image depicts a large gathering of people in front of a prominent building, likely a government or institutional structure"
24Apple-Investment-hkjm-articleLarge.jpg,Business,"The image shows people in suits and ties, suggesting a business or corporate event"
27Spassky-kzvt-articleLarge.jpg,World,"The image shows a chess player intensely focused on the game, indicating that it's related to the world of chess and competitive gaming"
11db-trump-xi-qtpc-articleLarge.jpg,World,The image depicts two world leaders standing next to each other in front of their respective country's flags.
12biz-northvolt-wzlq-articleLarge.jpg,World,"The image appears to be taken from an aerial view, showing multiple planes and cars on the runway, suggesting that it could be related to aviation or transportation"
00nw-tradewar-articleLarge.jpg,World,"The image depicts a divided country between China and America, symbolizing a global issue"
14Kukkapuro--mhvc-articleLarge.jpg,World,"The image depicts a crowded street scene with people holding banners and signs, suggesting an event or protest that transcends local or national boundaries"
TARIFF-SHEIN-bfcm-articleLarge.jpg,World,"The image depicts a large pile of plastic bags with various logos and designs on them, suggesting a global or international context"
dc-pardons20-articleLarge.jpg,World,"The image depicts a crowded street scene with people holding banners and signs, suggesting a global or international event."
15germany-economy-01-kbqz-articleLarge.jpg,Arts,"Image Description: A crowded street with people holding banners and signs, a prominent figure speaking at a podium."
09Tiktok-global-gpfh-articleLarge.jpg,Technology,TikTok logo on the building indicates it is related to technology
china-censor-gckt-articleLarge.jpg,U.S.,"The image shows a political rally with a well-known figure addressing the crowd, which is indicative of political activities"
biz-15nvidia-mpcv-articleLarge.jpg,Technology,"The image depicts an electronic circuit board, featuring numerous integrated circuits and microchips, suggesting it's related to technological advancements or innovations"
xxukraine-pow-wife-01-vlwz-articleLarge.jpg,World,"The image depicts a crowded street scene with people holding banners and signs, suggesting that it may be related to global issues or international events."
23dc-trump-press-hbvw-articleLarge.jpg,World,The image depicts a protest or demonstration in a public street setting.
17int-china-tariff-diplo-01-qztw-articleLarge.jpg,World,"The image depicts Xi Jinping, the President of China, in a formal setting, likely during a meeting or conference, suggesting international relations and diplomacy are involved"
17tvcol-residence-articleLarge.jpg,Arts,"Image Description: A crowded street with people holding banners and signs, a prominent figure speaking at a podium."
31norway-ship-zmgh-articleLarge.jpg,World,"The image depicts a group of military personnel in flight suits and headsets, suggesting an international or global context"
19tiktok-messages-1-bghm-articleLarge.jpg,World,"The image depicts a crowded street scene with people holding banners and signs, suggesting it is a global event or protest"
11latenight-articleLarge.jpg,Arts,"The image depicts an individual dressed in a suit and tie standing in front of a curtain or stage backdrop, suggesting that he may be presenting a performance or speech related to the arts"
15int-ukraine-sumy-02-wgkm-articleLarge.jpg,Arts,"The image depicts a heavily damaged building, indicating that it has suffered extensive destruction."
12trump-news-header-wzbg-articleLarge.jpg,World,"The image features people holding signs and banners, indicating a protest or demonstration, which is characteristic of global issues"
11dc-trump-econ-ztbq-articleLarge-v2.jpg,Business,The image appears to be related to business or finance due to the presence of people in professional attire and a large screen displaying stock market data.
09dc-prexy-topart-wckb-articleLarge.jpg,World,"The image depicts a group of people in traditional attire, suggesting cultural or religious significance"
00tiktok-lobbying-qmpg-articleLarge.jpg,World,"The image depicts a large crowd gathered in front of a building, holding banners and signs, suggesting a global or international event."
15china-us-rights-01-wmhp-articleLarge.jpg,World,"The skyline in the background suggests an international city, possibly New York or Tokyo, indicating that this event has global significance"
31dc-trade-barriers-bkvm-articleLarge.jpg,World,"The image depicts a large cargo ship navigating through a busy shipping lane, surrounded by numerous other vessels and cranes in a bustling port, conveying an atmosphere of global commerce"
00musk-mother-01-lhjk-articleLarge.jpg,Business,"The image depicts an elderly woman in a red suit speaking into a microphone, suggesting she may be giving a presentation or speech."
00roose-articleLarge.jpg,World,"The image depicts a crowded street scene with people holding banners and signs, featuring a prominent figure at a podium, suggesting it to be related to global or international events"
11DB-GREENLAND-articleLarge.jpg,World,"The image depicts an airport runway with an airplane taking off, featuring people walking on the tarmac and mountains in the background, indicating international travel"
pol-ironrange-video-promo-articleLarge.jpg,World,"The image depicts a statue of a man standing on top of a large machine in an open field during sunset, indicating global or international themes"
00tangs-giving-hvfg-articleLarge.jpg,Arts,The image depicts an elderly man and a young woman standing in what appears to be a theater or auditorium.
07int-russia-ovechkin-putin-001-articleLarge.jpg,Arts,"The image depicts a street scene with people holding banners and signs, suggesting a political or protest-related event."
25dc-hegseth-jvlw-articleLarge.jpg,World,"The image depicts a crowded street scene with people holding banners and signs, indicating a protest or demonstration related to global issues"
